2025-12-08 19:37:02 - INFO - Epoch: 0.00, Step: 10, Train Loss: 9.3141, Learning Rate: 1.42e-07
2025-12-08 19:37:13 - INFO - Epoch: 0.01, Step: 20, Train Loss: 9.3102, Learning Rate: 3.00e-07
2025-12-08 19:37:24 - INFO - Epoch: 0.01, Step: 30, Train Loss: 9.2955, Learning Rate: 4.58e-07
2025-12-08 19:37:35 - INFO - Epoch: 0.01, Step: 40, Train Loss: 9.2795, Learning Rate: 6.15e-07
2025-12-08 19:37:46 - INFO - Epoch: 0.02, Step: 50, Train Loss: 9.2565, Learning Rate: 7.73e-07
2025-12-08 19:37:57 - INFO - Epoch: 0.02, Step: 60, Train Loss: 9.2301, Learning Rate: 9.31e-07
2025-12-08 19:38:08 - INFO - Epoch: 0.02, Step: 70, Train Loss: 9.1979, Learning Rate: 1.09e-06
2025-12-08 19:38:19 - INFO - Epoch: 0.03, Step: 80, Train Loss: 9.1606, Learning Rate: 1.25e-06
2025-12-08 19:38:30 - INFO - Epoch: 0.03, Step: 90, Train Loss: 9.1161, Learning Rate: 1.40e-06
2025-12-08 19:38:41 - INFO - Epoch: 0.03, Step: 100, Train Loss: 9.0689, Learning Rate: 1.56e-06
2025-12-08 19:38:52 - INFO - Epoch: 0.03, Step: 110, Train Loss: 9.0223, Learning Rate: 1.72e-06
2025-12-08 19:39:03 - INFO - Epoch: 0.04, Step: 120, Train Loss: 8.9759, Learning Rate: 1.88e-06
2025-12-08 19:39:15 - INFO - Epoch: 0.04, Step: 130, Train Loss: 8.9180, Learning Rate: 2.04e-06
2025-12-08 19:39:26 - INFO - Epoch: 0.04, Step: 140, Train Loss: 8.8747, Learning Rate: 2.19e-06
2025-12-08 19:39:37 - INFO - Epoch: 0.05, Step: 150, Train Loss: 8.8312, Learning Rate: 2.35e-06
2025-12-08 19:39:48 - INFO - Epoch: 0.05, Step: 160, Train Loss: 8.7883, Learning Rate: 2.51e-06
2025-12-08 19:39:59 - INFO - Epoch: 0.05, Step: 170, Train Loss: 8.7494, Learning Rate: 2.67e-06
